Tool1; Square0
Square0.000057
x; z;
0.031366; 0.206207
0.031366; 0.206207
0.030556; 0.210335
0.030104; 0.212309
0.029694; 0.214316
0.027559; 0.213338
0.024534; 0.212208
0.021735; 0.210234
0.021710; 0.210236
0.021839; 0.212086
0.021943; 0.214066
0.022068; 0.216448
0.022130; 0.217639
0.022362; 0.218821
0.023407; 0.219779
0.024148; 0.219922
0.026033; 0.219922
0.027917; 0.219922
0.029303; 0.219364
0.029917; 0.218018
0.030068; 0.216288
0.030305; 0.213573
0.030619; 0.209990
0.031289; 0.206439
0.031289; 0.206439
Tool2; Square0
Square- 0.000432
x; z;
0.000000; 0.119203
0.000000; 0.119203
0.006803; 0.119202
0.010447; 0.119202
0.014175; 0.119334
0.016091; 0.119544
0.018047; 0.120297
0.018434; 0.121948
0.018434; 0.121948
0.018306; 0.118268
0.018173; 0.114460
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
