Tool1; Square0
Square0.000054
x; z;
0.030551; 0.208546
0.030551; 0.208546
0.030101; 0.210520
0.029687; 0.212533
0.027547; 0.211550
0.024524; 0.210412
0.021770; 0.208373
0.021736; 0.208375
0.021839; 0.209864
0.021943; 0.211845
0.022068; 0.214227
0.022130; 0.215418
0.022362; 0.216600
0.023407; 0.217558
0.024148; 0.217700
0.026033; 0.217700
0.027917; 0.217700
0.029303; 0.217143
0.029917; 0.215797
0.030068; 0.214066
0.030305; 0.211352
0.030305; 0.211352
Tool2; Square0
Square- 0.000428
x; z;
0.000000; 0.118996
0.000000; 0.118996
0.006803; 0.118995
0.010447; 0.118994
0.014181; 0.119132
0.016097; 0.119349
0.018054; 0.120111
0.018428; 0.121770
0.018428; 0.121770
0.018306; 0.118268
0.018173; 0.114460
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
