Tool1; Square0
Square0.000095
x; z;
0.030931; 0.234010
0.030931; 0.234010
0.030609; 0.235860
0.028548; 0.235151
0.025239; 0.234597
0.021576; 0.233828
0.020411; 0.231905
0.020261; 0.232022
0.020723; 0.232618
0.021631; 0.235499
0.021839; 0.238488
0.021943; 0.240468
0.022068; 0.242850
0.022130; 0.244041
0.022362; 0.245223
0.023407; 0.246181
0.024148; 0.246324
0.026033; 0.246324
0.027917; 0.246324
0.029303; 0.245766
0.029917; 0.244420
0.030068; 0.242690
0.030305; 0.239975
0.030619; 0.236392
0.030619; 0.236392
Tool2; Square0
Square- 0.000522
x; z;
0.000000; 0.124175
0.000000; 0.124175
0.006801; 0.124179
0.010433; 0.124187
0.014071; 0.124193
0.015943; 0.124278
0.017840; 0.124610
0.018826; 0.125750
0.018829; 0.125750
0.018460; 0.122690
0.018306; 0.118268
0.018173; 0.114460
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
