Tool1; Square0
Square0.000004
x; z;
0.026702; 0.186497
0.026702; 0.186497
0.025443; 0.185897
0.024024; 0.185256
0.022536; 0.184338
0.022049; 0.182671
0.022049; 0.182671
0.022068; 0.183023
0.022130; 0.184215
0.022362; 0.185397
0.023407; 0.186355
0.024148; 0.186497
0.026033; 0.186497
0.026033; 0.186497
Tool2; Square2
Square- 0.000320
x; z;
0.000000; 0.113005
0.000000; 0.113005
0.006814; 0.113053
0.010460; 0.113093
0.014212; 0.113301
0.016158; 0.113575
0.018173; 0.114478
0.018173; 0.114478
0.018173; 0.114460
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
Tool2; Square0
Square- 0.000001
x; z;
0.036076; 0.133942
0.036076; 0.133942
0.035288; 0.134703
0.036143; 0.135532
0.036143; 0.135532
0.036143; 0.135532
