Tool1; Square0
Square0.000003
x; z;
0.026518; 0.182746
0.026518; 0.182746
0.025216; 0.182364
0.023874; 0.181700
0.022422; 0.180732
0.022055; 0.179033
0.022055; 0.179033
0.022068; 0.179272
0.022130; 0.180463
0.022362; 0.181645
0.023407; 0.182603
0.024148; 0.182746
0.026033; 0.182746
0.026033; 0.182746
Tool2; Square2
Square- 0.000258
x; z;
0.000000; 0.109526
0.000000; 0.109526
0.006792; 0.109598
0.010417; 0.109666
0.014152; 0.109908
0.016088; 0.110202
0.018056; 0.111120
0.018056; 0.111120
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
Tool2; Square0
Square- 0.000001
x; z;
0.036077; 0.133954
0.036077; 0.133954
0.035333; 0.134701
0.036137; 0.135390
0.036137; 0.135390
0.036137; 0.135390
