Tool1; Square0
Square0.000113
x; z;
0.031124; 0.241523
0.031124; 0.241523
0.028541; 0.241392
0.025130; 0.241160
0.021368; 0.240711
0.019768; 0.239218
0.017307; 0.236827
0.017194; 0.237032
0.018262; 0.237625
0.020723; 0.240801
0.021631; 0.243682
0.021839; 0.246671
0.021943; 0.248651
0.022068; 0.251033
0.022130; 0.252224
0.022362; 0.253406
0.023407; 0.254364
0.024148; 0.254507
0.026033; 0.254507
0.027917; 0.254507
0.029303; 0.253949
0.029917; 0.252603
0.030068; 0.250873
0.030305; 0.248158
0.030619; 0.244575
0.030619; 0.244575
Tool2; Square0
Square- 0.000565
x; z;
0.000000; 0.126494
0.000000; 0.126494
0.006797; 0.126494
0.010422; 0.126492
0.014047; 0.126483
0.017667; 0.126474
0.019365; 0.126797
0.019551; 0.126644
0.018831; 0.125767
0.018460; 0.122690
0.018306; 0.118268
0.018173; 0.114460
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
