Tool1; Square0
Square0.000024
x; z;
0.030269; 0.192718
0.030269; 0.192718
0.029972; 0.194759
0.029794; 0.195794
0.029610; 0.196861
0.028486; 0.196344
0.027368; 0.195924
0.025810; 0.195476
0.024309; 0.194867
0.022824; 0.194009
0.021929; 0.192533
0.021929; 0.192533
0.021943; 0.192796
0.022068; 0.195178
0.022130; 0.196369
0.022362; 0.197551
0.023407; 0.198509
0.024148; 0.198651
0.026033; 0.198651
0.027917; 0.198651
0.029303; 0.198094
0.029917; 0.196748
0.030068; 0.195017
0.030068; 0.195017
Tool2; Square2
Square- 0.000402
x; z;
0.000000; 0.117547
0.000000; 0.117547
0.006804; 0.117549
0.010450; 0.117545
0.014200; 0.117704
0.016129; 0.117946
0.018105; 0.118759
0.018383; 0.120480
0.018383; 0.120480
0.018306; 0.118268
0.018173; 0.114460
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
Tool2; Square0
Square- 0.000001
x; z;
0.036075; 0.133917
0.036075; 0.133917
0.035206; 0.134707
0.036149; 0.135691
0.036150; 0.135691
0.036149; 0.135673
0.036149; 0.135673
