Tool1; Square0
Square0.000003
x; z;
0.026549; 0.183479
0.026549; 0.183479
0.025257; 0.183051
0.023906; 0.182391
0.022452; 0.181435
0.022054; 0.179748
0.022054; 0.179748
0.022068; 0.180006
0.022130; 0.181197
0.022362; 0.182379
0.023407; 0.183337
0.024148; 0.183479
0.026033; 0.183479
0.026033; 0.183479
Tool2; Square2
Square- 0.000271
x; z;
0.000000; 0.110270
0.000000; 0.110270
0.006797; 0.110338
0.010427; 0.110399
0.014165; 0.110634
0.016100; 0.110924
0.018081; 0.111841
0.018081; 0.111841
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
Tool2; Square0
Square- 0.000001
x; z;
0.036077; 0.133949
0.036077; 0.133949
0.035315; 0.134702
0.036139; 0.135430
0.036139; 0.135430
0.036139; 0.135430
