Tool1; Square0
Square0.000004
x; z;
0.026616; 0.185093
0.026616; 0.185093
0.025342; 0.184587
0.023963; 0.183935
0.022492; 0.182996
0.022052; 0.181318
0.022052; 0.181318
0.022068; 0.181619
0.022130; 0.182810
0.022362; 0.183992
0.023407; 0.184950
0.024148; 0.185093
0.026033; 0.185093
0.026033; 0.185093
Tool2; Square2
Square- 0.000298
x; z;
0.000000; 0.111788
0.000000; 0.111788
0.006808; 0.111846
0.010447; 0.111897
0.014194; 0.112117
0.016135; 0.112398
0.018132; 0.113308
0.018132; 0.113308
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
Tool2; Square0
Square- 0.000001
x; z;
0.036076; 0.133946
0.036076; 0.133946
0.035304; 0.134703
0.036141; 0.135482
0.036141; 0.135482
0.036141; 0.135482
