Tool1; Square0
Square0.000088
x; z;
0.031246; 0.224661
0.031246; 0.224661
0.030358; 0.228448
0.028306; 0.227670
0.025085; 0.226912
0.021495; 0.225955
0.020514; 0.223913
0.020451; 0.223962
0.020723; 0.224314
0.021631; 0.227195
0.021839; 0.230183
0.021943; 0.232163
0.022068; 0.234546
0.022130; 0.235737
0.022362; 0.236919
0.023407; 0.237877
0.024148; 0.238019
0.026033; 0.238019
0.027917; 0.238019
0.029303; 0.237461
0.029917; 0.236115
0.030068; 0.234385
0.030305; 0.231671
0.030619; 0.228088
0.030619; 0.228088
Tool2; Square0
Square- 0.000486
x; z;
0.000000; 0.122150
0.000000; 0.122150
0.006803; 0.122154
0.010443; 0.122170
0.014089; 0.122205
0.015986; 0.122309
0.017948; 0.122904
0.018532; 0.124373
0.018661; 0.124357
0.018460; 0.122690
0.018306; 0.118268
0.018173; 0.114460
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
