Tool1; Square0
Square0.000003
x; z;
0.026468; 0.181263
0.026468; 0.181263
0.025147; 0.180959
0.023817; 0.180289
0.022374; 0.179301
0.022125; 0.178457
0.022057; 0.177583
0.022057; 0.177583
0.022068; 0.177789
0.022130; 0.178981
0.022362; 0.180163
0.023407; 0.181121
0.024148; 0.181263
0.026033; 0.181263
0.026033; 0.181263
Tool2; Square2
Square- 0.000231
x; z;
0.000000; 0.107991
0.000000; 0.107991
0.006772; 0.108064
0.010389; 0.108140
0.014119; 0.108394
0.016055; 0.108696
0.018003; 0.109617
0.018003; 0.109617
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
Tool2; Square0
Square- 0.000001
x; z;
0.036077; 0.133963
0.036077; 0.133963
0.035361; 0.134700
0.036134; 0.135323
0.036134; 0.135323
0.036134; 0.135323
