Tool1; Square0
Square0.000091
x; z;
0.031350; 0.226624
0.031350; 0.226624
0.030472; 0.230379
0.028419; 0.229635
0.025187; 0.228931
0.021581; 0.228051
0.020542; 0.226037
0.018084; 0.223235
0.018063; 0.223274
0.018262; 0.223384
0.020723; 0.226561
0.021631; 0.229441
0.021839; 0.232430
0.021943; 0.234410
0.022068; 0.236792
0.022130; 0.237983
0.022362; 0.239166
0.023407; 0.240124
0.024148; 0.240266
0.026033; 0.240266
0.027917; 0.240266
0.029303; 0.239708
0.029917; 0.238362
0.030068; 0.236632
0.030305; 0.233917
0.030619; 0.230335
0.031289; 0.226783
0.031289; 0.226783
Tool2; Square0
Square- 0.000493
x; z;
0.000000; 0.122581
0.000000; 0.122581
0.006803; 0.122585
0.010442; 0.122601
0.014086; 0.122629
0.015978; 0.122726
0.017939; 0.123281
0.018583; 0.124700
0.018701; 0.124686
0.018460; 0.122690
0.018306; 0.118268
0.018173; 0.114460
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
