Tool1; Square0
Square0.000053
x; z;
0.030545; 0.208309
0.030545; 0.208309
0.030096; 0.210285
0.029684; 0.212298
0.027543; 0.211317
0.024519; 0.210180
0.021766; 0.208129
0.021740; 0.208131
0.021839; 0.209558
0.021943; 0.211538
0.022068; 0.213920
0.022130; 0.215111
0.022362; 0.216293
0.023407; 0.217251
0.024148; 0.217394
0.026033; 0.217394
0.027917; 0.217394
0.029303; 0.216836
0.029917; 0.215490
0.030068; 0.213760
0.030305; 0.211045
0.030305; 0.211045
Tool2; Square0
Square- 0.000428
x; z;
0.000000; 0.118976
0.000000; 0.118976
0.006803; 0.118974
0.010447; 0.118973
0.014181; 0.119112
0.016098; 0.119329
0.018053; 0.120092
0.018427; 0.121751
0.018427; 0.121751
0.018306; 0.118268
0.018173; 0.114460
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
