Tool1; Square0
Square0.000108
x; z;
0.030944; 0.240949
0.030944; 0.240949
0.028488; 0.240654
0.025085; 0.240341
0.021332; 0.239800
0.019893; 0.238182
0.019738; 0.238302
0.020723; 0.239574
0.021631; 0.242454
0.021839; 0.245443
0.021943; 0.247423
0.022068; 0.249805
0.022130; 0.250996
0.022362; 0.252179
0.023407; 0.253137
0.024148; 0.253279
0.026033; 0.253279
0.027917; 0.253279
0.029303; 0.252721
0.029917; 0.251375
0.030068; 0.249645
0.030305; 0.246931
0.030619; 0.243348
0.030619; 0.243348
Tool2; Square0
Square- 0.000561
x; z;
0.000000; 0.126295
0.000000; 0.126295
0.006797; 0.126295
0.010422; 0.126293
0.014047; 0.126284
0.017676; 0.126303
0.019313; 0.126719
0.019492; 0.126573
0.018831; 0.125767
0.018460; 0.122690
0.018306; 0.118268
0.018173; 0.114460
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
