Tool1; Square0
Square0.000068
x; z;
0.030652; 0.216899
0.030652; 0.216899
0.029860; 0.220857
0.027745; 0.219948
0.024689; 0.218922
0.021723; 0.217171
0.021649; 0.217176
0.021839; 0.219910
0.021943; 0.221890
0.022068; 0.224272
0.022130; 0.225464
0.022362; 0.226646
0.023407; 0.227604
0.024148; 0.227746
0.026033; 0.227746
0.027917; 0.227746
0.029303; 0.227188
0.029917; 0.225842
0.030068; 0.224112
0.030305; 0.221398
0.030619; 0.217815
0.030619; 0.217815
Tool2; Square0
Square- 0.000457
x; z;
0.000000; 0.120596
0.000000; 0.120596
0.006803; 0.120598
0.010445; 0.120608
0.014133; 0.120697
0.016040; 0.120862
0.017998; 0.121557
0.018449; 0.123154
0.018515; 0.123146
0.018460; 0.122690
0.018306; 0.118268
0.018173; 0.114460
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
