Tool1; Square0
Square0.000079
x; z;
0.030925; 0.219929
0.030925; 0.219929
0.030103; 0.223847
0.028021; 0.222994
0.024898; 0.222046
0.021521; 0.220765
0.021452; 0.220787
0.021631; 0.221357
0.021839; 0.224346
0.021943; 0.226326
0.022068; 0.228708
0.022130; 0.229899
0.022362; 0.231081
0.023407; 0.232040
0.024148; 0.232182
0.026033; 0.232182
0.027917; 0.232182
0.029303; 0.231624
0.029917; 0.230278
0.030068; 0.228548
0.030305; 0.225833
0.030619; 0.222250
0.030619; 0.222250
Tool2; Square0
Square- 0.000468
x; z;
0.000000; 0.121207
0.000000; 0.121207
0.006803; 0.121210
0.010445; 0.121224
0.014110; 0.121288
0.016015; 0.121428
0.017977; 0.122092
0.018463; 0.123655
0.018575; 0.123642
0.018460; 0.122690
0.018306; 0.118268
0.018173; 0.114460
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
