Tool1; Square0
Square0.000017
x; z;
0.030202; 0.190445
0.030202; 0.190445
0.029933; 0.192495
0.029757; 0.193531
0.029565; 0.194629
0.028417; 0.194100
0.027300; 0.193680
0.025739; 0.193226
0.024239; 0.192612
0.022755; 0.191737
0.021967; 0.190204
0.021967; 0.190204
0.022068; 0.192136
0.022130; 0.193327
0.022362; 0.194509
0.023407; 0.195467
0.024148; 0.195609
0.026033; 0.195609
0.027917; 0.195609
0.029303; 0.195051
0.029917; 0.193705
0.030068; 0.191975
0.030068; 0.191975
Tool2; Square2
Square- 0.000394
x; z;
0.000000; 0.117115
0.000000; 0.117115
0.006805; 0.117118
0.010451; 0.117117
0.014202; 0.117278
0.016135; 0.117520
0.018121; 0.118344
0.018369; 0.120086
0.018369; 0.120086
0.018306; 0.118268
0.018173; 0.114460
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
Tool2; Square0
Square- 0.000001
x; z;
0.036075; 0.133923
0.036075; 0.133923
0.035223; 0.134706
0.036149; 0.135666
0.036149; 0.135666
0.036149; 0.135666
